category,Brand,title,price,original-price,id,f-Assured,Free delivery,Special Offer,Sorted by,start_url
tshirt,29K,Solid Men Round Neck Green T-Shirt,84,999,TSHGBMWVHSFQKTBX,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Yes'No,Striped Women Round Neck Dark Green T-Shirt,189,999,TSHG943ZXARZS3QM,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Rebound,Color Block Women Round Neck Maroon T-Shirt,179,999,TSHFUTKGPFYKQUXX,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Bukkum,Solid Women Round Neck Pink T-Shirt,93,"1,499",TSHG5W8KWSHKGKXF,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Yes'No,Color Block Women Round Neck Yellow T-Shirt,189,999,TSHG93UBCDNAVXFU,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Rane,"Color Block Women Round Neck Red, White, Dark Blue T-Sh...",98,599,TSHG9YB38AKJMNDV,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,style valley,Solid Women Round Neck Pink T-Shirt,123,999,TSHG2V87ZYN9SHSD,f_Assured,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,RP Collection,Typography Couple Round Neck White T-Shirt,159,999,TSHFUF4RZ2QS29DK,f_Assured,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,29K,Solid Men Round Neck Red T-Shirt,84,999,TSHGBMWVPGYHJRZG,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,29K,Solid Men Round Neck White T-Shirt,84,499,TSHGBMWWH9TFG7TA,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,DONG,Solid Men Round Neck Reversible Black T-Shirt,88,300,TSHGE3SABQQHPJHJ,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,DONG,Self Design Men Round Neck Reversible Dark Blue T-Shirt,88,300,TSHGE3R9TFADGZGJ,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,29K,Solid Men Round Neck Green T-Shirt,93,699,TSHGB79SBXHBYXDG,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,KETEX,Solid Men Round Neck Black T-Shirt,96,999,TSHGA4JWFHBM4XVT,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Rebound,Solid Women Round Neck Black T-Shirt,179,999,TSHFPJGGYQHED3YF,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Rebound,Color Block Women Round Neck Red T-Shirt,179,999,TSHFPJGF6MEWWBKM,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Rebound,Color Block Women Round Neck Dark Blue T-Shirt,179,999,TSHFUTKFR22TZUXK,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Culture the Dignity,Solid Women Round Neck Black T-Shirt,239,475,TSHFWVSHMR9UMZPT,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Hero & Piyush,Solid Women Round Neck Maroon T-Shirt,100,999,TSHFS7FG3BYHD7HY,,,"Buy 2 items, save extra 5%",price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Rebound,Color Block Women Round Neck Multicolor T-Shirt,189,999,TSHFP53KV8WPUUG8,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,IESHNE LIFESTYLE,"Solid Couple Hooded Neck Black, Red T-Shirt",225,"1,199",TSHFYVXU5ZNZNTMA,f_Assured,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,KETEX,Solid Men Round Neck Black T-Shirt,96,999,TSHGA4JWYSEP5UMW,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,KETEX,Solid Men Round Neck Black T-Shirt,98,449,TSHGYXRJYGRMGJMY,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,KETEX,Solid Men Round Neck White T-Shirt,98,449,TSHG6BUZANW5VK7Z,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,KETEX,Solid Men Round Neck White T-Shirt,99,449,TSHG6BUZA4FY7APN,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
